year,confirmed,recovered,death
2020,3047,4172,14
2020,5887,5029,24
2020,6268,5707,28
2020,5215,5376,30
2021,4991,5111,23
2021,5328,4985,21
2021,4600,4668,25
2021,3021,5145,19
2021,5615,4922,24
2021,6394,5110,25
2021,5051,5639,25
2021,5142,5324,23
2021,5528,5424,22
2021,4545,4659,23
2021,3110,3922,20
2021,5507,4270,25
2021,6004,5158,26
2021,5490,4337,19
2021,5624,4603,23
2021,5960,5011,27
2021,5005,4408,21
2021,3346,3921,17
2021,6186,4296,26
2021,6815,7364,18
2021,6334,6229,21
2021,6753,6108,19
2021,6960,5283,23
2021,6036,5173,20
2021,3361,5606,17
2021,6293,5290,19
2021,5659,5006,20
2021,5771,5594,19
2021,6268,6398,22
2021,6282,7032,18
2021,5266,5730,21
2021,3459,5215,17
2021,5716,5747,16
2021,6356,6380,20
2021,6102,6341,17
2021,5610,6653,19
2021,5942,6178,16
2021,6075,5948,19
2021,3742,5959,16
2021,5214,6475,19
2021,5980,5745,18
2021,5281,5692,16
2021,5397,5332,18
2021,5471,5835,16
2021,4612,4692,15
2021,2884,5073,13
2021,4937,5439,18
2021,4892,4832,16
2021,4584,5193,14
2021,4505,4854,15
2021,4650,5841,13
2021,4070,4345,15
2021,2212,5037,16
2021,4034,4823,14
2021,4106,5885,17
2021,3677,4652,14
2021,3671,4142,14
2021,3792,4650,18
2021,3254,4333,15
2021,1938,3475,13
2021,2938,3512,16
2021,2765,4031,15
2021,2616,4156,14
2021,2776,3638,16
2021,2791,3517,16
2021,2100,4039,13
2021,1412,3030,12
2021,2316,4386,16
2021,2475,4192,14
2021,2133,3753,13
2021,1780,3377,14
2021,2035,3256,12
2021,1792,3238,15
2021,1054,3463,11
2021,1970,2884,15
2021,2098,2815,13
2021,1899,2119,15
2021,1984,1965,17
2021,2078,2211,15
2021,1875,2251,13
2021,1239,1766,12
2021,1985,2172,10
2021,2456,2060,10
2021,1989,1865,12
2021,1825,1917,14
2021,2055,2084,14
2021,2216,1853,12
2021,1549,1897,11
2021,2389,1946,16
2021,2653,2039,15
2021,2798,1835,11
2021,2508,2287,14
2021,2541,1660,12
2021,2802,2173,10
2021,2357,1866,12
2021,3502,1898,14
2021,3502,1955,16
2021,4353,2205,18
2021,5063,2475,22
2021,6194,2584,17
2021,6986,2358,16
2021,5692,2474,11
2021,7515,2959,20
2021,8778,2642,22
2021,8126,2700,20
2021,10031,3792,21
2021,13835,3654,27
2021,18257,4565,25
2021,13644,4305,21
2021,19577,3880,28
2021,22414,5431,22
2021,26995,6370,28
2021,28447,5663,27
2021,26685,7067,25
2021,28469,8122,30
2021,21890,7943,28
2021,32819,18413,32
2021,35013,15505,41
2021,38607,21116,48
2021,37199,17500,49
2021,35636,15493,48
2021,31959,16296,49
2021,26011,19519,45
2021,37190,26148,57
2021,41953,23106,58
2021,42464,27152,63
2021,38460,26662,54
2021,41971,27456,64
2021,35801,29318,68
2021,27487,31209,65
2021,37290,32978,79
2021,43529,34600,95
2021,39955,33733,97
2021,34694,31319,93
2021,32680,29442,96
